Key,Subject,Body,Category,Note
ShiftManagement_Request,Shift Request/Đơn đăng ký đi ca,"<p>Hello/Xin chào {0},</p><p>You have new <strong>Shift Request</strong> for approval. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{1}</td></tr><tr><td><strong>Month</strong>:</td><td>{2}</td></tr><tr><td><strong>Year</strong>:</td><td>{3}</td></tr><tr><td><strong>Department</strong>:</td><td>{4}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>Bạn có một đơn <strong>Đăng Ký Đi Ca</strong> cần duyệt. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{1}</td></tr><tr><td><strong>Tháng</strong>:</td><td>{2}</td></tr><tr><td><strong>Năm</strong>:</td><td>{3}</td></tr><tr><td><strong>Phòng ban</strong>:</td><td>{5}</td></tr></tbody></table><p>Bạn có thể truy cập vào <a href='#link'>liên kết</a> này để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Shift Management,"{0} Receiver
{1} Requester
{2} Month
{3} Year
{4} Department
{5} Phòng Ban 
#link Link To page Shift Management"
ShiftManagement_Approve,Shift Request Approved/Đơn đăng ký đi ca đã được duyệt,"<p>Hello/Xin chào {0},</p><p>Your <strong>Shift Request</strong> has been <strong>approved </strong>by {1}. The details as following:</p><table><tbody><tr><td><strong>Register for</strong>:</td><td>{2}</td></tr><tr><td><strong>Month:</strong></td><td>{3}</td></tr><tr><td><strong>Year</strong>:</td><td>{4}</td></tr><tr><td><strong>Days</strong>:</td><td>{5}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a> to view the Shift Request.</p><p>Đơn <strong>Đăng ký đi ca</strong> của bạn đã được <strong>duyệt</strong> bởi {1}. Chi tiết như sau:</p><table><tbody><tr><td><strong>Đăng ký cho</strong>:</td><td>{2}</td></tr><tr><td><strong>Tháng:</strong></td><td>{3}</td></tr><tr><td><strong>Năm</strong>:</td><td>{4}</td></tr><tr><td><strong>Các ngày</strong>:</td><td>{5}</td></tr></tbody></table><p>Bạn có thể truy cập vào <a href='#link'>liên kết</a> này để biết thêm chi tiết.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Shift Management,"{0} Receiver
{0} Receiver
{1} Approver
{2} Register for
{3} Month
{4} Year
{5} Shift Table
#link Link To page Shift Management"
Overtime_work_application,Overtime Work Application/Giấy đề nghị làm thêm giờ," <p>Hi/Chào {{EmployeeFullName}} <br /><br /></p>
          <p><strong><em>Người đề nghị/Proposer</em></strong>:&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;{{Proposer}}&hellip;&hellip;&hellip;&hellip;&hellip;<strong><em>Bộ phận/Dept.</em></strong>:&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;{{Department}}&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;.</p>
          <p><strong><em>Thời gian/Time</em></strong>: Từ ngày/<em>from</em>&hellip;&hellip;{{date}}&hellip;&hellip;&hellip;đến ngày/<em>to</em>&hellip;&hellip;&hellip;{{date}}&hellip;&hellip;&hellip;&hellip;<strong><em>Địa điểm/Place</em></strong>:&hellip;&hellip;&hellip;{{place}}&hellip;&hellip;&hellip;&hellip;.</p>
          <table style='height: 208px; border: 1px solid; border-collapse: collapse;' width='825'>
          <tbody>
          <tr style='background: #D6E3BC;'>
          <td style='border: 1px solid; width: 200px; text-align: center;' rowspan='2'><strong>Họ và tên/ Full name</strong></td>
          <td style='border: 1px solid; width: 200px; text-align: center;' rowspan='2'><strong>Mã NV/ID</strong></td>
          <td style='border: 1px solid; width: 200px; text-align: center;' rowspan='2'><strong>Số giờ làm việc trong ngày (giờ)/ Working hour(s)</strong></td>
          <td style='border: 1px solid; width: 200px; text-align: center;' rowspan='2'>
          <p><strong>Số giờ làm thêm /Overtime hour(s)</strong></p>
          <p><strong>Từ/from:&hellip; h Đến/to:&hellip;h</strong></p>
          <p>&nbsp;</p>
          </td>
          <td style='border: 1px solid; width: 200px; text-align: center;' rowspan='2'><strong>Nội dung công việc/ Work content</strong></td>
          <td style='border: 1px solid; width: 200px; text-align: center;' colspan='2'><strong>Xe đưa đón/ Company bus</strong></td>
          </tr>
          <tr style='background: #C4BC96;'>
          <td style='border: 1px solid; width: 200px; text-align: center;'><strong>HM</strong></td>
          <td style='border: 1px solid; width: 200px; text-align: center;'><strong>KD</strong></td>
          </tr>
          <tr>
          <td style='border: 1px solid; text-align: center;'>{{EmployeeFullName}}</td>
          <td style='border: 1px solid; text-align: center;'>{{EmployeeId}}</td>
          <td style='border: 1px solid; text-align: center;'>{{totalHour}}</td>
          <td style='border: 1px solid; text-align: center;'>{{from}} - {{to}}</td>
          <td style='border: 1px solid; text-align: center;'>{{workcontent}}</td>
          <td style='border: 1px solid; text-align: center;'>{{hm}}</td>
          <td style='border: 1px solid; text-align: center;'>{{kd}}</td>
          </tr>
          </tbody>
          </table>
          <p>&nbsp;</p>",Overtime Management," {{EmployeeFullName}} : EmployeeFullName
            {{Proposer}} : Proposer
            {{Department}} : Department
            {{place}} : place
            {{from}} : from
            {{to}} : to
            {{EmployeeId}} : EmployeeId
            {{totalHour}} : totalHour
            {{date}} : date
            {{workcontent}} : workcontent
            {{hm}} :hm
            {{kd}} : kd"
LOAbsence_Request,Leave of Absence for Overtime Request/Đơn xin nghỉ tăng ca,"<p>Hello/Xin chào {0},</p><p>You have a new <strong>Leave Of Absence for Overime Request</strong>. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{1}.</td></tr><tr><td><strong>Date:</strong></td><td>{2}</td></tr><tr><td><strong>Reason: </strong></td><td>{3}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp;for more information.</p><p>&nbsp;</p><p>Bạn có một &nbsp;<strong>Đơn xin nghỉ tăng ca</strong> cần duyệt. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu:</strong></td><td>{1}.</td></tr><tr><td><strong>Ngày:</strong></td><td>{2}</td></tr><tr><td><strong>Lý do:</strong></td><td>{3}</td></tr></tbody></table><p>Vui lòng truy vập vào &nbsp;<a href='#link'>liên kết</a>&nbsp;này để biết thêm chi tiết.</p><p>&nbsp;</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards/Trân trọng,</em></p><p>STADA Email System.</p>",Leave Of Absence For Overtime,"
{0} Receiver
{1} Requester
{2} Date
{3} Reason
#link link to page"
LOAbsence_Approve,Leave of Absence for Overtime Request Approved/Đơn xin nghỉ tăng ca được duyệt,"<p>Hello/Xin chào {0},</p><p>Your <strong>Leave Of Absence for Overime Request </strong>has been <strong>Approved</strong> by {5}. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{1}.</td></tr><tr><td><strong>Date:</strong></td><td>{2}</td></tr><tr><td><strong>Reason: </strong></td><td>{3}</td></tr><tr>          <td>            <strong>Comments from manager: </strong></td>          <td>{4}</td>       </tr> </tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a> &nbsp;for more information.</p><p>&nbsp;</p><p>Đơn xin <strong>Nghỉ tăng ca &nbsp;</strong>của bạn đã được <strong>duyệt</strong> bởi {5}. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu:</strong></td><td>{1}.</td></tr><tr><td><strong>Ngày:</strong></td><td>{2}</td></tr><tr><td><strong>Lý do:</strong></td><td>{3}</td></tr> <tr><td colspan='2'><strong>Ý kiến cấp trên: </strong></td><td colspan='3'>{4}</td></tr> </tbody></table><p>Vui lòng truy vập vào &nbsp;<a href='#link'>liên kết</a>&nbsp;này để biết thêm chi tiết.</p><p>&nbsp;</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards/Trân trọng,</em></p><p>STADA Email System.</p>",Leave Of Absence For Overtime,"
{0} Receiver
{1} Requester
{2} Date
{3} Reason
#link link to page"
LOAbsence_Reject,Leave of Absence for Overtime Request Rejected/Đơn xin nghỉ tăng ca không được duyệt," <p>Hello/Xin chào {0},</p><p>Your    <strong>Leave Of Absence for Overime Request </strong>has been    <strong>Rejected</strong> by {5}. The details as following:</p> <table>    <tbody>       <tr>          <td>            <strong>Requester</strong>:</td>          <td>{1}.</td>       </tr>       <tr>          <td>            <strong>Date:</strong></td>          <td>{2}</td>       </tr>       <tr>          <td>            <strong>Reason: </strong></td>          <td>{3}</td>       </tr>      <tr>          <td>            <strong>Comments from manager: </strong></td>          <td>{4}</td>       </tr>    </tbody> </table> <p>You can access to this&#160;<a href='#link'>link</a> &#160;for more information.</p> <p>&#160;</p> <p>Đơn xin    <strong>Nghỉ tăng ca &#160;</strong>của bạn đã    <strong>không được duyệt</strong> bởi {5}. Chi tiết như sau:</p> <table> <tbody><tr><td><strong>Người yêu cầu:</strong></td><td>{1}.</td>       </tr>       <tr>          <td>            <strong>Ngày:</strong></td>          <td>{2}</td>       </tr>       <tr>          <td>            <strong>Lý do:</strong></td>          <td>{3}</td>       </tr>      <tr>          <td>            <strong>Ý kiến cấp trên: </strong></td>          <td>{4}</td>       </tr>    </tbody> </table> <p>Vui lòng truy vập vào &#160;<a href='#link'>liên kết</a>&#160;này để biết thêm chi tiết.</p> <p>&#160;</p> <p>   <strong>      <em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em>   <strong>      <em>DO NOT</em></strong><em> reply!</em></p> <p>   <em>Best regards/Trân trọng,</em></p> <p>STADA Email System.</p>",Leave Of Absence For Overtime,"
{0} Receiver
{1} Requester
{1} Date
{2} Reason
#link link to page"
ChangeShift_Request,Change Shift Request/Đơn xin đổi ca,"<p>Hello/Xin ch&agrave;o {0},</p><p>You have a new <strong>Change Shift Request</strong>. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td colspan=4>{1}</td></tr><tr><td><strong>From date:</strong></td><td>{2}</td><td width=20>&nbsp;</td><td><strong>From shift:</strong></td><td>{5}</td></tr><tr><td><strong>To date:</strong></td><td>{3}</td><td width=20>&nbsp;</td><td><strong>To shift:</strong></td><td>{6}</td></tr><tr><td><strong>Reason: </strong></td><td colspan=4>{4}</td></tr></tbody></table><p>You can access to this&nbsp;<a href=#link>link</a> &nbsp;for more information.</p><p>&nbsp;</p><p>Bạn c&oacute; một &nbsp;<strong>Đơn xin đổi ca</strong> cần duyệt. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người y&ecirc;u cầu:</strong></td><td colspan=4>{1}.</td></tr><tr><td><strong>Từ Ng&agrave;y:</strong></td><td>{2}</td><td width=20>&nbsp;</td><td><strong>Từ ca:</strong></td><td>{5}</td></tr><tr><td><strong>Chuyển đến ngày:</strong></td><td>{3}</td><td width=20>&nbsp;</td><td><strong>Đến ca:</strong></td><td>{6}</td></tr><tr><td><strong>L&yacute; do:</strong></td><td colspan=4>{4}</td></tr></tbody></table><p>Vui l&ograve;ng truy vập v&agrave;o &nbsp;<a href=#link>li&ecirc;n kết</a>&nbsp;n&agrave;y để biết th&ecirc;m chi tiết.</p><p>&nbsp;</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards/Tr&acirc;n trọng,</em></p><p>STADA Email System.</p>",Change Shift Management,"
{0} Receiver
{1} Requester
{2} From Date
{3} To Date
{4} Reason
#link to page"
ChangeShift_Approve,Change Shift Request Approved/Đơn xin đổi ca được duyệt,"<p>Hello/Xin ch&agrave;o {0},</p><p>You have <strong>Change Shift Request </strong>has been <strong>approved</strong> by {8}. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td colspan='4'>{1}</td></tr><tr><td><strong>From date:</strong></td><td>{2}</td><td width='20'>&nbsp;</td><td><strong>From shift:</strong></td><td style='width: 30px;'>{5}</td></tr><tr><td><strong>To date:</strong></td><td>{3}</td><td width='20'>&nbsp;</td><td><strong>To shift:</strong></td><td>{6}</td></tr><tr><td><strong>Reason: </strong></td><td colspan='4'>{4}</td></tr><tr>         <td colspan='3'>            <strong>Comments from manager: </strong></td>         <td colspan='3'>{7}</td>      </tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a> &nbsp;for more information.</p><p>&nbsp;</p><p><strong>Đơn xin đổi ca</strong> của bạn đ&atilde; được <strong>duyệt</strong> bởi {8}. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người y&ecirc;u cầu:</strong></td><td colspan='4'>{1}</td></tr><tr><td><strong>Từ ngày:</strong></td><td>{2}</td><td width='20'>&nbsp;</td><td><strong>Từ ca:</strong></td><td>{5}</td></tr><tr><td><strong>Chuyển đến ngày:</strong></td><td>{3}</td><td width='20'>&nbsp;</td><td><strong>Đến ca:</strong></td><td>{6}</td></tr><tr><td><strong>L&yacute; do:</strong></td><td colspan='4'>{4}</td></tr></tbody><tr>         <td colspan='2'>            <strong>Ý kiến cấp trên: </strong></td>         <td colspan='3'>{7}</td>      </tr> </table><p>Vui l&ograve;ng v&agrave;o &nbsp;<a href='#link'>li&ecirc;n kết</a>&nbsp;n&agrave;y để biết th&ecirc;m chi tiết.</p><p>&nbsp;</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards/Tr&acirc;n trọng,</em></p><p>STADA Email System.</p>",Change Shift Management,"
{0} Receiver
{1} Requester
{2} From Date
{3} To Date
{4} Reason
#link to page"
ChangeShift_Reject,Change Shift Request Rejected/Đơn xin đổi ca không được duyệt,"<p>Hello/Xin chào {0},</p><p>You have    <strong>Change Shift Request </strong>has been    <strong>rejected</strong> by {8}. The details as following:</p><table>   <tbody>      <tr>         <td>            <strong>Requester</strong>:</td>         <td colspan='4'>{1}</td>      </tr>      <tr>         <td>            <strong>From date:</strong></td>         <td>{2}</td>         <td width='20'>&#160;</td>         <td>            <strong>From shift:</strong></td>         <td>{5}</td>      </tr>      <tr>         <td>            <strong>To date:</strong></td>         <td>{3}</td>         <td width='20'>&#160;</td>         <td>            <strong>To shift:</strong></td>         <td>{6}</td>      </tr>      <tr>         <td>            <strong>Reason: </strong></td>         <td colspan='4'>{4}</td>      </tr>     <tr>         <td colspan='2'>            <strong>Comments from manager: </strong></td>         <td colspan='3'>{7}</td>      </tr>   </tbody></table><p>​You can access to this&#160;<a href='#link'>link</a> &#160;for more information.</p><p>&#160;</p><p>   <strong>Đơn xin đổi ca</strong> của bạn đã    <strong> không được duyệt</strong> bởi {8}. Chi tiết như sau:</p><table>   <tbody>      <tr>         <td>            <strong>Người yêu cầu:</strong></td>         <td colspan='4'>{1}</td>      </tr>      <tr>         <td>            <strong>Từ ngày:</strong></td>         <td>{2}</td>         <td width='20'>&#160;</td>         <td>            <strong>Từ ca:</strong></td>         <td>{5}</td>      </tr>      <tr>         <td>            <strong>Chuyển đến ngày:</strong></td>         <td>{3}</td>         <td width='20'>&#160;</td>         <td>            <strong>Đến ca:</strong></td>         <td>{6}</td>      </tr>      <tr>         <td>            <strong>Lý do:</strong></td>         <td colspan='4'>{4}</td>      </tr>     <tr>         <td colspan='2'>            <strong>Ý kiến cấp trên: </strong></td>         <td colspan='3'>{7}</td>      </tr>   </tbody></table><p>Vui lòng vào &#160;<a href='#link'>liên kết</a>&#160;này để biết thêm chi tiết.</p><p>&#160;</p><p>   <strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em>   <strong>      <em>DO NOT</em></strong><em> reply!</em></p><p>   <em>Best regards/Trân trọng,</em></p><p>STADA Email System.</p>",Change Shift Management,"
{0} Receiver
{1} Requester
{2} From Date
{3} To Date
{4} Reason
#link link to page"
OvertimeManagement_Request,Overtime Work Request/Đơn xin làm thêm giờ,"<p>Hello/Xin chào {0},</p><p>You have new <strong>Overtime Request&nbsp;</strong> for approval. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{1}</td></tr><tr><td><strong>Date</strong>:</td><td>{2}</td></tr><tr><td><strong>Department</strong>:</td><td>{3}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>Bạn có một đơn <strong>Đăng Ký Tăng Ca</strong> cần duyệt. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{1}</td></tr><tr><td><strong>Ngày</strong>:</td><td>{2}</td></tr><tr><td><strong>Phòng ban</strong>:</td><td>{4}</td></tr></tbody></table><p>Bạn có thể truy cập vào <a href='#link'>liên kết</a> này để xem thêm thông tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Overtime Management,"
{0} Receiver
{1} Requester
{2} Date
{3} Department
{4} Phòng Ban
#link - Link to approve page"
