Key,Subject,Body,ListName,Action
Requests-Submit,'Request/Phiếu đề nghị',"'<p>Hello/Xin chào ' + Receivers + '</p>' + '<p> You have a new <strong>The Request</strong>. The details as following:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Requester</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Request Type</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Comments</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>You can access to this&#160;<a href={}' + LinkToItem + '{}>link</a> &#160;for more information.</p>' + AdditionalInfoEmailObject['PrintLinkEN'] + '<p>&#160;</p>' + '<p>Bạn có một &#160;<strong>Phiếu đề nghị</strong> cần duyệt. Chi tiết như sau:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Người yêu cầu</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Loại yêu cầu</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Ghi chú</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>Vui lòng truy cập vào &#160;<a href={}' + LinkToItem + '{}>link</a> &#160;này để biết thêm chi tiết.</p>' + AdditionalInfoEmailObject['PrintLinkVN'] + '<p>&#160;</p>' + '<p>' + '<strong>' + '<em>Note:</em>' + '</strong><em> This is an auto-email generated by STADA email system, please </em>' + '<strong>' + '<em>DO NOT</em>' + '</strong><em> reply!</em>' + '</p>' + '<p>' + '<em>Best regards/Trân trọng,</em>' + '</p>' + '<p>STADA Email System.</p>​<br/>'",Requests,Submitted
Requests-Approve,'Request/Phiếu đề nghị',"'<p>Hello/Xin chào ' + Receivers + '</p>' + '<p>' + AdditionalInfoEmailObject['ApproverEmailInfoEN'] + 'The details as following:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Requester</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Request Type</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Comments</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>You can access to this&#160;<a href={}' + LinkToItem + '{}>link</a> &#160;for more information.</p>' + AdditionalInfoEmailObject['PrintLinkEN'] + '<p>&#160;</p>' + '<p>' + AdditionalInfoEmailObject['ApproverEmailInfoVN'] + 'Chi tiết như sau:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Người yêu cầu</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Loại yêu cầu</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Ghi chú</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>Vui lòng truy cập vào &#160;<a href={}' + LinkToItem + '{}>link</a> &#160;này để biết thêm chi tiết.</p>' + AdditionalInfoEmailObject['PrintLinkVN'] + '<p>&#160;</p>' + '<p>' + '<strong>' + '<em>Note:</em>' + '</strong><em> This is an auto-email generated by STADA email system, please </em>' + '<strong>' + '<em>DO NOT</em>' + '</strong><em> reply!</em>' + '</p>' + '<p>' + '<em>Best regards/Trân trọng,</em>' + '</p>' + '<p>STADA Email System.</p>​<br/>'",Requests,Approved
Requests-Assign,'Request/Phiếu đề nghị',"'<p>Hello/Xin chào ' + Receivers + '</p>' + '<p> You have a new <strong>The Request</strong>. The details as following:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Requester</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Request Type</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Comments</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>You can access to this&#160;<a href={}' + LinkToItem + '{}>link</a> &#160;for more information.</p>' + AdditionalInfoEmailObject['PrintLinkEN'] + '<p>&#160;</p>' + '<p>Bạn có một &#160;<strong>Phiếu đề nghị</strong> cần duyệt. Chi tiết như sau:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Người yêu cầu</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Loại yêu cầu</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Ghi chú</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>Vui lòng truy cập vào &#160;<a href={}' + LinkToItem + '{}>link</a> &#160;này để biết thêm chi tiết.</p>' + AdditionalInfoEmailObject['PrintLinkVN'] + '<p>&#160;</p>' + '<p>' + '<strong>' + '<em>Note:</em>' + '</strong><em> This is an auto-email generated by STADA email system, please </em>' + '<strong>' + '<em>DO NOT</em>' + '</strong><em> reply!</em>' + '</p>' + '<p>' + '<em>Best regards/Trân trọng,</em>' + '</p>' + '<p>STADA Email System.</p>​<br/>'",Requests,Assigned
Requests-Reject,'Request/Phiếu đề nghị',"'<p>Hello/Xin chào ' + Receivers + '</p>' + '<p> <strong>Your request has been rejected by ' + CurrentEmployee.FullName + '.</strong> The details as following:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Requester</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Request Type</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Comments</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>You can access to this <a href={}' + LinkToItem + '{}>link</a> for more information.</p>' + '<p>&#160;</p>' + '<p><strong>Phiếu đề nghị đã từ chối phê duyệt bởi ' + CurrentEmployee.FullName + '.</strong> Chi tiết như sau:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Người yêu cầu</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Loại yêu cầu</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Ghi chú</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>Vui lòng truy cập vào <a href={}' + LinkToItem + '{}>link</a> này để biết thêm chi tiết.</p>' + '<p>&#160;</p>' + '<p>' + '<strong>' + '<em>Note:</em>' + '</strong><em> This is an auto-email generated by STADA email system, please </em>' + '<strong>' + '<em>DO NOT</em>' + '</strong><em> reply!</em>' + '</p>' + '<p>' + '<em>Best regards/Trân trọng,</em>' + '</p>' + '<p>STADA Email System.</p>​<br/>'",Requests,Rejected
Requests-Cancel,'Request/Phiếu đề nghị',"'<p>Hello/Xin chào ' + Receivers + '</p>' + '<p> You have a new <strong>The Request</strong>. The details as following:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Requester</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Request Type</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Comments</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>You can access to this&#160;<a href={}' + LinkToItem + '{}>link</a> &#160;for more information.</p>' + AdditionalInfoEmailObject['PrintLinkEN'] + '<p>&#160;</p>' + '<p>Bạn có một &#160;<strong>Phiếu đề nghị</strong> cần duyệt. Chi tiết như sau:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Người yêu cầu</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Loại yêu cầu</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Ghi chú</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>Vui lòng truy cập vào &#160;<a href={}' + LinkToItem + '{}>link</a> &#160;này để biết thêm chi tiết.</p>' + AdditionalInfoEmailObject['PrintLinkVN'] + '<p>&#160;</p>' + '<p>' + '<strong>' + '<em>Note:</em>' + '</strong><em> This is an auto-email generated by STADA email system, please </em>' + '<strong>' + '<em>DO NOT</em>' + '</strong><em> reply!</em>' + '</p>' + '<p>' + '<em>Best regards/Trân trọng,</em>' + '</p>' + '<p>STADA Email System.</p>​<br/>'",Requests,Cancelled
Requests-Complete,'Request/Phiếu đề nghị',"'<p>Hello/Xin chào ' + Receivers + '</p>' + '<p> <strong>Request has been completed.</strong> The details as following:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Requester</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Request Type</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Comments</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>You can access to this <a href={}' + LinkToItem + '{}>link</a> for more information.</p>' + '<p>&#160;</p>' + '<p><strong>Phiếu đề nghị đã được hoàn thành.</strong> Chi tiết như sau:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Người yêu cầu</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Loại yêu cầu</strong>:' + '</td>' + '<td>' + RequestTypeRef + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Ghi chú</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>Vui lòng truy cập vào <a href={}' + LinkToItem + '{}>link</a> này để biết thêm chi tiết.</p>' + '<p>&#160;</p>' + '<p>' + '<strong>' + '<em>Note:</em>' + '</strong><em> This is an auto-email generated by STADA email system, please </em>' + '<strong>' + '<em>DO NOT</em>' + '</strong><em> reply!</em>' + '</p>' + '<p>' + '<em>Best regards/Trân trọng,</em>' + '</p>' + '<p>STADA Email System.</p>​<br/>'",Requests,Completed
EmployeeRequirementSheets-Submitted,'Phiếu Yêu Cầu Tuyển Dụng Nhân Viên/Employee Recruitment Request',"'<p>Hello/Xin chào ' + Receivers + '</p>' + '<p> You have a new <strong>the employee recruitment request</strong>. The details as following:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Requester</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Position</strong>:' + '</td>' + '<td>' + CurrentItem['Position'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Quantity</strong>:' + '</td>' + '<td>' + CurrentItem['Quantity'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Reasons for recruitment</strong>:' + '</td>' + '<td>' + CurrentItem['ReasonsForRecruitment'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Comments</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>You can access to this&#160;<a href={}' + LinkToItem + '{}>link</a> &#160;for more information.</p>' + AdditionalInfoEmailObject['PrintLinkEN'] + '<p>&#160;</p>' + '<p>Bạn có một &#160;<strong>Phiếu yêu cầu tuyển dụng nhân viên</strong> cần duyệt. Chi tiết như sau:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Người yêu cầu</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Vị trí tuyển dụng</strong>:' + '</td>' + '<td>' + CurrentItem['Position'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Số lượng</strong>:' + '</td>' + '<td>' + CurrentItem['Quantity'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Lý do tuyển dụng</strong>:' + '</td>' + '<td>' + CurrentItem['ReasonsForRecruitment'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Ghi chú</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>Vui lòng truy cập vào &#160;<a href={}' + LinkToItem + '{}>link</a> &#160;này để biết thêm chi tiết.</p>' + AdditionalInfoEmailObject['PrintLinkVN'] + '<p>&#160;</p>' + '<p>' + '<strong>' + '<em>Note:</em>' + '</strong><em> This is an auto-email generated by STADA email system, please </em>' + '<strong>' + '<em>DO NOT</em>' + '</strong><em> reply!</em>' + '</p>' + '<p>' + '<em>Best regards/Trân trọng,</em>' + '</p>' + '<p>STADA Email System.</p>​<br/>'",Employee requirement sheets,Submitted
EmployeeRequirementSheets-Approved,'Phiếu Yêu Cầu Tuyển Dụng Nhân Viên/Employee Recruitment Request',"'<p>Hello/Xin chào ' + Receivers + '</p>' + '<p> You have a new <strong>the employee recruitment request</strong>. The details as following:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Requester</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Position</strong>:' + '</td>' + '<td>' + CurrentItem['Position'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Quantity</strong>:' + '</td>' + '<td>' + CurrentItem['Quantity'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Reasons for recruitment</strong>:' + '</td>' + '<td>' + CurrentItem['ReasonsForRecruitment'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Comments</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>You can access to this&#160;<a href={}' + LinkToItem + '{}>link</a> &#160;for more information.</p>' + AdditionalInfoEmailObject['PrintLinkEN'] + '<p>&#160;</p>' + '<p>Bạn có một &#160;<strong>Phiếu yêu cầu tuyển dụng nhân viên</strong> cần duyệt. Chi tiết như sau:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Người yêu cầu</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Vị trí tuyển dụng</strong>:' + '</td>' + '<td>' + CurrentItem['Position'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Số lượng</strong>:' + '</td>' + '<td>' + CurrentItem['Quantity'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Lý do tuyển dụng</strong>:' + '</td>' + '<td>' + CurrentItem['ReasonsForRecruitment'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Ghi chú</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>Vui lòng truy cập vào &#160;<a href={}' + LinkToItem + '{}>link</a> &#160;này để biết thêm chi tiết.</p>' + AdditionalInfoEmailObject['PrintLinkVN'] + '<p>&#160;</p>' + '<p>' + '<strong>' + '<em>Note:</em>' + '</strong><em> This is an auto-email generated by STADA email system, please </em>' + '<strong>' + '<em>DO NOT</em>' + '</strong><em> reply!</em>' + '</p>' + '<p>' + '<em>Best regards/Trân trọng,</em>' + '</p>' + '<p>STADA Email System.</p>​<br/>'",Employee requirement sheets,Approved
EmployeeRequirementSheets-Rejected,'Phiếu Yêu Cầu Tuyển Dụng Nhân Viên/Employee Recruitment Request',"'<p>Hello/Xin chào ' + Receivers + '</p>' + '<p> <strong>Your recruitment request has been rejected by ' + CurrentEmployee.FullName + '.</strong> The details as following:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Requester</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Position</strong>:' + '</td>' + '<td>' + CurrentItem['Position'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Quantity</strong>:' + '</td>' + '<td>' + CurrentItem['Quantity'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Reasons for recruitment</strong>:' + '</td>' + '<td>' + CurrentItem['ReasonsForRecruitment'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Comments</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>You can access to this <a href={}' + LinkToItem + '{}>link</a> for more information.</p>' + '<p>&#160;</p>' + '<p><strong>Phiếu yêu cầu tuyển dụng nhân viên của bạn đã từ chối phê duyệt bởi ' + CurrentEmployee.FullName + '.</strong> Chi tiết như sau:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Người yêu cầu</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Vị trí tuyển dụng</strong>:' + '</td>' + '<td>' + CurrentItem['Position'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Số lượng</strong>:' + '</td>' + '<td>' + CurrentItem['Quantity'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Lý do tuyển dụng</strong>:' + '</td>' + '<td>' + CurrentItem['ReasonsForRecruitment'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Ghi chú</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>Vui lòng truy cập vào <a href={}' + LinkToItem + '{}>link</a> này để biết thêm chi tiết.</p>' + '<p>&#160;</p>' + '<p>' + '<strong>' + '<em>Note:</em>' + '</strong><em> This is an auto-email generated by STADA email system, please </em>' + '<strong>' + '<em>DO NOT</em>' + '</strong><em> reply!</em>' + '</p>' + '<p>' + '<em>Best regards/Trân trọng,</em>' + '</p>' + '<p>STADA Email System.</p>​<br/>'",Employee requirement sheets,Rejected
EmployeeRequirementSheets-Assigned,'Phiếu Yêu Cầu Tuyển Dụng Nhân Viên/Employee Recruitment Request',"'<p>Hello/Xin chào ' + Receivers + '</p>' + '<p> You have a new <strong>the employee recruitment request</strong>. The details as following:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Requester</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Position</strong>:' + '</td>' + '<td>' + CurrentItem['Position'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Quantity</strong>:' + '</td>' + '<td>' + CurrentItem['Quantity'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Reasons for recruitment</strong>:' + '</td>' + '<td>' + CurrentItem['ReasonsForRecruitment'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Comments</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>You can access to this&#160;<a href={}' + LinkToItem + '{}>link</a> &#160;for more information.</p>' + AdditionalInfoEmailObject['PrintLinkEN'] + '<p>&#160;</p>' + '<p>Bạn có một &#160;<strong>Phiếu yêu cầu tuyển dụng nhân viên</strong> cần duyệt. Chi tiết như sau:</p>' + '<table>' + '<tbody>' + '<tr>' + '<td>' + '<strong>Người yêu cầu</strong>:' + '</td>' + '<td>' + Creator.FullName + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Vị trí tuyển dụng</strong>:' + '</td>' + '<td>' + CurrentItem['Position'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Số lượng</strong>:' + '</td>' + '<td>' + CurrentItem['Quantity'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Lý do tuyển dụng</strong>:' + '</td>' + '<td>' + CurrentItem['ReasonsForRecruitment'].ToString() + '</td>' + '</tr>' + '<tr>' + '<td>' + '<strong>Ghi chú</strong>:' + '</td>' + '<td>' + Comment + '</td>' + '</tr>' + '</tbody>' + '</table>' + '<p>Vui lòng truy cập vào &#160;<a href={}' + LinkToItem + '{}>link</a> &#160;này để biết thêm chi tiết.</p>' + AdditionalInfoEmailObject['PrintLinkVN'] + '<p>&#160;</p>' + '<p>' + '<strong>' + '<em>Note:</em>' + '</strong><em> This is an auto-email generated by STADA email system, please </em>' + '<strong>' + '<em>DO NOT</em>' + '</strong><em> reply!</em>' + '</p>' + '<p>' + '<em>Best regards/Trân trọng,</em>' + '</p>' + '<p>STADA Email System.</p>​<br/>'",Employee requirement sheets,Assigned
